user_id,name,review_count,yelping_since,friends,useful,funny,cool,fans,elite,average_stars,compliment_hot,compliment_more,compliment_profile,compliment_cute,compliment_list,compliment_note,compliment_plain,compliment_cool,compliment_funny,compliment_writer,compliment_photos
JJ-aSuM4pCFPdkfoZ34q0Q,Chris,10,2013-09-24,"0njfJmB-7n84DlIgUByCNw, rFn3Xe3RqHxRSxWOU19Gpg, HVUAmApa0fCbHHVJ0ALshw, LBOTb6bJjCdFyDLNswUGmA, cy3d0moQOsrhWo6VAyA_kA, XTDeelhFzFX0h_8YELJDIQ, _erxdUfB8yJA_MCDBAaD_w, 3wMYVoHy15nxOCLZYYIhqA, 74C8Mdn3ISlFIwNZQUPEdg, Vc980a_kTQL9tzfG1ESq_g, UPld_8xdzvYmIMA4YxtG0A, ggppqaSt-4E-Y2XUVv6mMw, vILp0ctTM3fX0ucJeBw9Hg, Gl46kwumd4_f102dxgswDw, i9CDu8j-qcUfZYl67WBwiw, 23lcgZUt6dvtMqV_AZe9KQ, zacONW61-GjaCF9h5_icgA, BclKLmGPYlMEVr3OZ_Uuzw, ol00uKESTC5PR_fETT27AA, o7e8zecvSlPNTrPi1ZQLzg, 00JBHX0npVAC-itaFOUhpQ, im3w0wt-ZeE-lDa1zSdyMg, J_hT3mbtiwHIEWjTBSJnzQ, _54jmZK9vr9CN-SUSjFbMg, 65w6GtrNNlZDowVDAYGZFQ, WJeipqBVdQmVhnYrXlLb7A, vAhyONgVtU-oIaSHRJW0IA, Soa5S7dQsSjlG3lbTVGb2A, xtVcWcIKVORcBKhmdbrFiA, 7CghpxENlXnjTGOyNtRDsg, jI5mX0tNR79J_qoFKZMPdA, MFtiq9lbm95WVg501wNsww, SCICexHST-LMCowvH9h7jQ, SD2VfVLfSkz8m18dvo0HGA, Y8TLRIPm_ecnZPItgAJ3Kg, t9bfJI2zvx-3eFrN2zvQnw, 6yUCCifCroUPfXaVo5fCAA, SGDa-z6MmLmNCamviRsdsA, aZiDtUBOMHh19IsShZvqJg, nT9_vJSUk_Tay2Yx84rzCg, M98bD_uUoC0SJ39keA4OQw, hT3kGKYFnLflIifxyeKWwg, loEGz0M-bBf0XnyjrbEvFQ, Als68VuGzyG3rbn7aLkdBQ, X1Rx-CRMt3BjtW10xSb3Lw, svdwrwuL9YHyF3rOgjbB1w, T0jSTc2uvGtzIHZ843FcHQ, XAWO5aDTxo-LTE4jVdBdVg, Q1dLA0wWGO390tH56uKA4Q, -Ty7mzu-bxd4NmEprFXHEA, LQKbKXzjGtRRTK6v00o4gg, BLnaah22WBlLCDwOC7rJ8Q, IWlU5scMqNaKSWO5ovY_iA, kMPSklg0XL9uYeYUgX2oCg, EUH2OBcw32X7wv6Yg4oC_w, Rkm94t2H5p2aPihBzhqP7w, MetDJXD8zSj9J5FqTYB_3Q, TyJ4xokX87KzbNUS8GX85A, t8H01Z2Vx9GNU8uXVKxr2Q, gv28x4ugM5FHGI_Jkky4kg, Y-AnP_QFDcq6B9BoDUUs0A, PXutYstbsqF3kgj6Tuik7Q, G0XMrknewP2Y3iHt84qZiA, gfYOmCKPDni8L3Dd_jibNQ, M9FL-chYhMA4nZpmTbWIZQ, zdahkrcKI1Mdj7H0i6oJcQ, vl3qiO6v4RbFJBpxVREJPw, RzbEU8OO2wbx67v_005Vlg, T1LHbOLMsvSjgqAJXQJwxA, 3na1OAZAe44z06SVPY_gPA, DwOyBVeoiZP7B4ZNkgbVbw, f-ZbVPvuUIuGGE1cGcTRTQ, 6FmeOxLVL0DVr7KHBC1kVA, BjN4WYNWk1t8qipjCqMJfA, 7rwANCcxfWgZ7K3LNBcQlw, 1kZ3jeyfPDAq7t7sIb89yg, TDo7fo6qn8OjokmvyZzPxw, ZJsUtNX4UXrQNL7ddEegUQ, J-sGGuafu3SFAWlw5D0xBw",0,0,0,0,None,3.7,0,0,0,0,0,0,0,0,0,0,0
uUzsFQn_6cXDh6rPNGbIFA,Tiffy,1,2017-03-02,None,0,0,0,0,None,2.0,0,0,0,0,0,0,0,0,0,0,0
mBneaEEH5EMyxaVyqS-72A,Mark,6,2015-03-13,None,0,0,0,0,None,4.67,0,0,0,0,0,0,0,0,0,0,0
W5mJGs-dcDWRGEhAzUYtoA,Evelyn,3,2016-09-08,None,0,0,0,0,None,4.67,0,0,0,0,0,0,0,0,0,0,0
4E8--zUZO1Rr1IBK4_83fg,Lisa,11,2012-07-16,None,4,0,0,0,None,3.45,0,0,0,0,0,0,0,0,0,1,0
Ob-2oGBQ7rwwYwUvhmnf7g,B,9,2012-05-01,None,0,0,0,0,None,4.78,0,0,0,0,0,0,0,0,0,0,0
JaTVvKsBl0bHHJEpESn4pQ,Peter,2,2013-03-23,None,0,0,0,0,None,5.0,0,0,0,0,0,0,0,0,0,0,0
Ykj0DVsz0c6rX9ghjd0hDg,Colleen,1,2010-10-10,None,0,0,0,0,None,1.0,0,0,0,0,0,0,0,0,0,0,0
kmyEPfKnHQJdTceCdoyMQg,A,7,2012-10-16,None,0,0,0,0,None,4.29,0,0,0,0,0,0,0,0,0,0,0
H54pA7YHfjl8IjhHAfdXJA,Chad,3,2010-06-25,None,0,0,0,0,None,5.0,0,0,0,0,0,0,0,0,0,0,0
WRae-wZkpRoxMrgJdqwyxg,Mike,1,2017-11-29,None,0,0,0,0,None,5.0,0,0,0,0,0,0,0,0,0,0,0
Mmv5fPxbF8XEMN4EPT_Khg,Chris,2,2016-06-24,None,0,0,0,0,None,1.67,0,0,0,0,0,0,0,0,0,0,0
LdqGHXsNQowMrvgTNburJA,Susan,1,2013-09-29,None,3,1,0,0,None,2.0,0,0,0,0,0,0,0,0,0,0,0
TsgBsn19Wjwpyo81gF9_8Q,Cathy,4,2010-11-28,None,0,0,0,0,None,4.0,0,0,0,0,0,1,0,0,0,0,0
V--GjQPlTpeWbcB2cS06Gw,Cody,2,2017-10-24,None,2,0,1,0,None,3.0,0,0,0,0,0,0,0,0,0,0,0
a_gKYQ5YMg39FHNYJLWRHg,Joselyn,1,2017-11-07,None,0,0,0,0,None,5.0,0,0,0,0,0,0,0,0,0,0,0
sz8Heh56kO_6_LBkoIhNfA,Rosalie,4,2015-06-25,None,0,0,0,0,None,3.0,0,0,0,0,0,0,0,0,0,0,0
h5ERTYn2vQ1QbjTZvfWPaA,Bobby,3,2017-01-07,"jYiZnueCr7gVq9T34xoa7g, yFLXGdY6rpHt7hRiwEFMag, -lMOmerImuxOPZrct6tQ4A, wlcE7t6C3HrdLLGwoGXJvw, NSsanvfVcq2GvMyUlQ4FEQ, fFSUVeacAFV3ygVS5SEjiQ, NfN97hBP0sg9QjqQ7RuuqA, 3Q6K0gIB2Cn23cIEUBhexA, KbsDA-3LyFDKA-PbQJeDIA, _ne-SH5VweelwKE77wMDYA, iqjcESnZVcsfEog95onL2A, 6ri2PmzKvkyhqq_EJnAeWA, UiBa715m4gaCWpxIkH7QqQ, bmiaScI1Lcj2vPYp1TDZuQ, E239YLEX76286Ybl3PM90Q, 4XuOpVBl6dwCP5dqeF00qg, -Ko4PiR-QBRsn589gtr31g, NK2FDJPi8VgmVli6W6fUvg, Q059bCZKN0qVA2M5B-G0rg, mvsZOFOb8Ua3tjG7sl_dvQ, ZxF9MmyHanIUPK4pSkEeNw, eeyCYQ0BBG86L2-vX3LFCw, UIte7HAKRi5iKJNdv36kZg, xc0bgDDzcwOigB55FQltMA, H9_Z-TRy8IKKpVdqMVHVng, lrh6a05Ge4T2vCBLUL3_hw, Up_MxgCGkVS_xZ93_yLs6g, 3hARDDBZcwsllxhql7ytbg, IfEtrgrmNHnljTYo0vks-w, QFKBCwyy6XofSS44WpoU2g, IcIKqLWls7-E7S7MBiMUgA, Fu0eeWDbT930N_Qs7KyXRw, TJBvXQqmQgdl2BOkOy0POw, SP-VWRAEc4OWhfEGRnnP_g, Il_yq9SaWacthHedNwmxKQ, bgfu7bly0ULEApOAZjYwFQ, PGY7tFQffIK4v7otwI9N6Q, OuaQq4EC26ZpU6DqhN8otA, DMaQVYVLIsJaEa1VY5D7RQ, XanpBobPirai3H60LWq1zg, a4H2W9wfGhZKpMr_DPyflA, yd4nG5vDBfHhFFgDcQiZEg, g3w4ybKfuQlAf9lEZHz4fw, lihzzFkf5jfS05qcRdTaIw, x-GHfjcCLB5lVoCyr_WM1w, 58N78eOu_RRygUiR6s5Ruw, Ds4ArclWSyXY0KXUdP_EOg, IxhAKYxTxdGolO-0JqLUFw, 6UtbIMEpNJK675RUJt_V3Q, _3mTLZ4WbG_tKq_4oJqYSA, nMfKEJaWYNyDoy78QHruRA, EXx8OnME43BxeNoRR51UUQ, pOMoP7hFJZjYqKp9kr1grQ, dj6OfxniW2thKkBqOUUNHQ, n4KahrbPwiUln1u5ZPHHKg, rY0AvEtrowbmcflHaxnK7A, O-NUTp0YtlhQOOyDDyr9VA, lHfu2E3n0sj4uGKOPZQVGQ, 7T3SkiyQII910AouycjlMA, 1zGeUwbM2QyR92bybk281Q, 0TCZ1_7Ekl_CPv8E5RFg5A, C2p9-bGLb1BLo-okBwbEfg, XyvNsHmgFSBsvijOTfBBRw, Po3yksCo9rCKPUUQGMwlVw",0,0,0,0,None,3.33,0,0,0,0,0,0,0,0,0,0,0
